M,N,K,kernel,block_x,block_y,warmup_iterations,benchmark_iterations,time_ms,gflops,speedup_vs_naive,relative_to_cublas
2048,2048,2048,Naive,8,8,10,100,9.694682,1772.092057,1.000000,0.077520
2048,2048,2048,Naive,16,16,10,100,7.338532,2341.049852,1.000000,0.102408
2048,2048,2048,Naive,32,32,10,100,7.191545,2388.898077,1.000000,0.104501
2048,2048,2048,Tiled Runtime,8,8,10,100,9.838309,1746.221701,0.985401,0.076388
2048,2048,2048,Tiled Runtime,16,16,10,100,7.845324,2189.822899,0.935402,0.095793
2048,2048,2048,Tiled Runtime,32,32,10,100,8.176272,2101.186012,0.879563,0.091916
2048,2048,2048,Tiled Constant,8,8,10,100,7.414307,2317.124030,1.307564,0.101362
2048,2048,2048,Tiled Constant,16,16,10,100,5.329442,3223.577748,1.376980,0.141014
2048,2048,2048,Tiled Constant,32,32,10,100,5.415353,3172.437651,1.327992,0.138777
2048,2048,2048,cuBLAS,0,0,10,100,0.751527,22859.949042,9.569244,1.000000
